IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.36.24.111,2086,80,false,CDG,Europe,Paris,243,0.00
13.36.24.111,2095,80,false,CDG,Europe,Paris,243,0.00
13.36.162.145,2053,80,false,CDG,Europe,Paris,243,0.00
13.37.32.97,8443,443,true,CDG,Europe,Paris,243,0.00
13.36.162.145,2086,80,false,CDG,Europe,Paris,243,0.00
13.36.64.125,8443,443,true,CDG,Europe,Paris,243,0.00
13.36.162.145,2096,80,false,CDG,Europe,Paris,243,0.00
13.36.253.240,2083,80,false,CDG,Europe,Paris,243,0.00
13.36.24.111,2082,80,false,CDG,Europe,Paris,243,0.00
13.37.165.175,2053,80,false,CDG,Europe,Paris,244,0.00
13.36.253.240,2086,80,false,CDG,Europe,Paris,244,0.00
13.40.128.14,8443,443,true,LHR,Europe,London,245,0.00
13.36.63.124,2082,80,false,CDG,Europe,Paris,246,0.00
13.36.24.111,2087,80,false,CDG,Europe,Paris,246,0.00
15.160.14.66,2082,80,false,MXP,Europe,Milan,250,0.00
13.36.24.111,2083,80,false,CDG,Europe,Paris,251,0.00
13.36.253.240,2052,80,false,CDG,Europe,Paris,252,0.00
13.36.253.240,2096,80,false,CDG,Europe,Paris,252,0.00
13.36.253.240,2082,80,false,CDG,Europe,Paris,252,0.00
13.36.63.124,2083,80,false,CDG,Europe,Paris,252,0.00
18.171.227.126,2082,80,false,ORD,North America,Chicago,252,0.00
54.194.162.247,80,80,false,DUB,Europe,Dublin,254,0.00
15.160.15.255,2083,80,false,MXP,Europe,Milan,257,0.00
15.160.19.149,2086,80,false,MXP,Europe,Milan,259,0.00
63.32.194.15,8443,443,true,DUB,Europe,Dublin,262,0.00
13.48.36.215,2096,80,false,ARN,Europe,Stockholm,268,0.00
13.48.36.215,2053,80,false,ARN,Europe,Stockholm,269,0.00
13.48.36.215,2082,80,false,ARN,Europe,Stockholm,277,0.00
13.48.36.215,2087,80,false,ARN,Europe,Stockholm,277,0.00
13.48.36.215,2086,80,false,ARN,Europe,Stockholm,278,0.00
18.171.225.232,443,80,false,ORD,North America,Chicago,317,0.00
13.36.24.111,2096,80,false,CDG,Europe,Paris,317,0.00
13.36.63.124,2096,80,false,CDG,Europe,Paris,317,0.00
13.36.253.240,2053,80,false,CDG,Europe,Paris,318,0.00
18.171.227.126,443,80,false,ORD,North America,Chicago,320,0.00
13.36.162.145,2095,80,false,CDG,Europe,Paris,320,0.00
13.36.162.145,2083,80,false,CDG,Europe,Paris,321,0.00
13.36.162.145,2087,80,false,CDG,Europe,Paris,322,0.00
13.36.162.145,2052,80,false,CDG,Europe,Paris,322,0.00
13.36.230.17,8443,443,true,CDG,Europe,Paris,323,0.00
13.36.253.240,2087,80,false,CDG,Europe,Paris,323,0.00
13.36.63.124,2052,80,false,CDG,Europe,Paris,323,0.00
13.36.63.124,2095,80,false,CDG,Europe,Paris,325,0.00
52.18.205.36,2095,80,false,DUB,Europe,Dublin,328,0.00
63.32.194.15,2053,443,true,DUB,Europe,Dublin,332,0.00
13.48.36.215,2052,80,false,ARN,Europe,Stockholm,345,0.00
13.48.36.215,2095,80,false,ARN,Europe,Stockholm,346,0.00
13.48.36.215,2083,80,false,ARN,Europe,Stockholm,346,0.00
13.246.85.121,2052,80,false,CPT,Africa,Cape Town,380,0.00
13.245.152.196,2053,80,false,CPT,Africa,Cape Town,382,0.00
13.245.152.196,2086,80,false,CPT,Africa,Cape Town,382,0.00
13.246.85.121,2086,80,false,CPT,Africa,Cape Town,382,0.00
13.245.152.196,2096,80,false,CPT,Africa,Cape Town,386,0.00
13.245.152.196,2082,80,false,CPT,Africa,Cape Town,389,0.00
13.246.85.121,2082,80,false,CPT,Africa,Cape Town,390,0.00
13.245.152.196,2095,80,false,CPT,Africa,Cape Town,390,0.00
13.246.85.121,2096,80,false,CPT,Africa,Cape Town,390,0.00
13.246.85.121,2053,80,false,CPT,Africa,Cape Town,395,0.00
13.246.85.121,2083,80,false,CPT,Africa,Cape Town,458,0.00
13.246.85.121,2095,80,false,CPT,Africa,Cape Town,459,0.00
